#     m                   NumOccur 
#     10                  19600               
      100                 140  
      1000                140  
      10000               150                 
      100000              138  
      200000              122                 
      300000              106                 
      400000              91                  
      500000              77                  
      600000              61                  
      700000              45 
#         n = 1000000   num_pat = 20        num_iter = 1000
