#     m                   NumOccur            
      10                  19600               
      110                 140                 
      210                 140                 
      310                 140                 
      410                 140                 
      510                 140                 
      610                 140                 
      710                 140                 
      810                 140                 
      910                 140                 

#         n = 1000000   num_pat = 20        num_iter = 1000
