#     m                   Naive               RK                  SA                  KMP                 AC                  
      10                  503.465             166.05              148.234             417.052             54.809
      20                  498.576             144.365             144.734             402.589             52.5936
      30                  476.755             131.758             145.717             384.274             50.8059
      40                  476.357             127.632             146.487             384.089             51.0964
      50                  476.276             124.722             144.898             384.007             51.2202
      60                  476.371             122.818             145.749             384.091             51.6299
      70                  476.339             121.054             145.587             384.178             51.9079
      80                  478.157             120.184             145.38              385.208             52.0095
      90                  479.585             119.456             145.237             386.636             52.4345
      100                 476.409             117.973             151.381             384.029             52.2899
      110                 476.269             116.902             148.859             383.969             52.3984
      120                 476.238             116.263             149.723             384.157             52.6842
      130                 476.66              115.666             146.882             383.524             53.019
      140                 476.619             115.218             147.226             383.493             53.0197
      150                 477.337             114.768             147.855             383.908             53.2151
#         n = 1000000   num_pat = 20        num_iter = 1000
