#     m                   NumOccur            
      10                  19607               
      20                  156                 
      30                  140                 
      40                  140                 
      50                  140                 
      60                  140                 
      70                  140                 
      80                  140                 
      90                  140                 
      100                 140                 
      110                 140                 
      120                 140                 
      130                 140                 
      140                 140                 
      150                 140                 
      160                 140                 
      170                 140                 
      180                 140                 
      190                 140                 
      200                 140                 

#         n = 1000000   num_pat = 20        num_iter = 1000
