#     n                   Naive               RK                  SA                  KMP                 AC                  
      10000               2.32508             0.740793            0.771772            1.92456             0.602717
      20000               4.6266              1.46515             1.48109             3.81267             1.07507
      30000               6.96389             2.2026              2.20183             5.73122             1.5562
      40000               9.25807             2.91861             2.93957             7.58865             2.01695
      50000               11.5653             3.6461              3.65071             9.47804             2.48869
      60000               13.8811             4.37276             4.37282             11.357              2.95773
      70000               16.1945             5.09588             5.11208             13.2385             3.42741
      80000               18.6646             5.87564             5.84273             15.3185             3.94433
      90000               20.7615             6.5449              6.55289             17.0215             4.35928
      100000              24.426              7.64002             7.28807             19.9674             5.1185
#         m = 15        num_pat = 10        num_iter = 100000
