#     np                  NumOccur            
      10                  9797                
      110                 107744              
      210                 206003              
      310                 303676              
      410                 401436              
      510                 499377              
      610                 597293              
      710                 694680              
      810                 792807              
      910                 889721              

#         m = 10        n = 1000000         num_iter = 1000
