#     n                   Naive               RK                  SA                  KMP                 AC                  
      10000               0.952068            0.553577            0.887756            0.90754             0.895134
      20000               1.83415             1.08672             1.61415             1.76834             1.57456
      30000               2.75538             1.6344              2.37286             2.67013             2.2968
      40000               3.67354             2.18336             3.11563             3.56015             2.98164
      50000               4.55951             2.709               3.84182             4.42569             3.67018
      60000               5.46298             3.26412             4.58258             5.35533             4.38334
      70000               6.43951             3.83725             5.38516             6.28084             5.12439
      80000               7.31982             4.35614             6.09672             7.15715             5.81108
      90000               8.21294             4.9121              6.85176             8.04177             6.48524
      100000              8.96589             5.35314             7.44557             8.76891             7.07209

#         m = 15        num_pat = 10        num_iter = 1000
