#     n                   Naive               RK                  SA                  KMP                 AC                  
      10000               0.20375             0.0882487           0.0845067           0.187611            0.393847
      20000               0.404979            0.174332            0.165994            0.372386            0.773891
      30000               0.615491            0.26323             0.2524              0.566026            1.17208
      40000               0.850796            0.360666            0.346291            0.788463            1.61132
      50000               1.09127             0.474656            0.447013            1.00104             2.10163
      60000               1.2221              0.520121            0.497849            1.12598             2.32006
      70000               1.44266             0.622714            0.594966            1.34505             2.75973
      80000               1.6517              0.708691            0.679036            1.52849             3.1485
      90000               1.82516             0.78141             0.746228            1.6817              3.46625
      100000              2.03353             0.873117            0.829392            1.87834             3.88302
#         m = 5         num_pat = 1         num_iter = 10000
