#     m                   Naive               RK                  SA                  KMP                 AC                  
      5                   0.520615            0.215415            0.247977            0.51812             0
      10                  0.550318            0.193385            0.282973            0.523604            0
      15                  0.546142            0.182365            0.349203            0.526425            0
      20                  0.572968            0.177042            0.441015            0.531717            0
      25                  0.568844            0.172603            0.546286            0.535833            0
      30                  0.564894            0.169396            0.661829            0.539338            0
      35                  0.561795            0.167509            0.846836            0.541177            0
      40                  0.557273            0.165415            0.997711            0.54557             0
      45                  0.554162            0.163971            1.16519             0.548198            0
      50                  0.5508              0.162543            1.35404             0.553243            0

#         n = 828       num_pat = 30        num_iter = 10000
