#     n                   Naive               RK                  SA                  KMP                 AC                  
      1000                0.357357            0.14809             0.166667            0.354777            0
      2000                0.699346            0.289559            0.302535            0.683107            0
      3000                1.04421             0.43175             0.441682            1.01352             0
      4000                1.3873              0.573813            0.578161            1.34054             0
      5000                1.73054             0.713106            0.714984            1.67007             0
      6000                2.07245             0.854793            0.852771            1.99768             0
      7000                2.42222             0.99731             0.990133            2.32967             0
      8000                2.75723             1.13469             1.12679             2.64697             0
      9000                3.09913             1.27342             1.26363             2.97342             0
      10000               3.43919             1.41291             1.40113             3.30147             0

#         m = 5         num_pat = 17        num_iter = 10000
