#     np                  Naive               RK                  SA                  KMP                 AC                  
      10                  0.280152            0.115876            0.125109            0.274944            0
      20                  0.557794            0.230524            0.249944            0.546774            0
      30                  0.833999            0.344001            0.373359            0.81952             0
      40                  1.11303             0.459267            0.497678            1.09828             0
      50                  1.38848             0.572891            0.621406            1.36819             0
      60                  1.66463             0.686869            0.745774            1.64208             0
      70                  1.94164             0.800082            0.869705            1.91318             0
      80                  2.22031             0.915506            0.995644            2.18628             0
      90                  2.49332             1.02757             1.11695             2.45925             0
      100                 2.76888             1.14094             1.2397              2.7306              0

#         m = 5         n = 1343            num_iter = 10000
